,Time,Subsystems,IVBatt,I+5V,IRadio,ISW1_5V,ISW2_5V,ISW3_5V,I7,ICharger,I_E,DA,DB,DC,C,ISW1-5V,ISW2-5V,ISW3-5V
0,1,EPS,"[7.23, -108.0]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.72, 6.99, 0.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.0, 20.4]","[5.01, 0.4]"
0,2,EPS,"[7.23, -107.3]","[5.0, 62.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.81, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.1]","[5.01, 20.2]","[5.0, 0.7]"
0,3,EPS,"[7.23, -108.7]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.78, 6.99, 1023.0]",[22.5],[22.31],[0.0],"[4.99, 55.0]","[5.01, 20.3]","[5.0, 0.5]"
0,4,EPS,"[7.23, -108.5]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.0]","[5.0, 19.7]","[5.0, 0.4]"
0,5,EPS,"[7.23, -108.4]","[5.0, 62.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.4]","[5.0, 0.3]"
0,6,EPS,"[7.23, -108.5]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.31],[0.0],"[4.99, 55.0]","[5.0, 20.2]","[5.01, 0.2]"
0,7,EPS,"[7.23, -108.4]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.44],[22.38],[0.0],"[4.99, 54.9]","[5.01, 20.3]","[5.0, 0.1]"
0,8,EPS,"[7.23, -108.3]","[4.99, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.7]","[5.0, 0.4]"
0,9,EPS,"[7.23, -108.1]","[5.0, 61.6]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.0, 0.5]"
0,10,EPS,"[7.23, -108.5]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.94, 6.99, 1023.0]",[22.44],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.4]","[5.0, 0.4]"
0,11,EPS,"[7.23, -108.4]","[5.0, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.8]","[5.0, 19.6]","[5.0, 0.3]"
0,12,EPS,"[7.23, -108.5]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.1]","[5.01, 20.4]","[5.0, 0.2]"
0,13,EPS,"[7.23, -108.0]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.44],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.1]","[5.01, 0.3]"
0,14,EPS,"[7.23, -108.6]","[5.0, 63.6]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.7]","[5.0, 20.2]","[5.0, 0.4]"
0,15,EPS,"[7.23, -108.1]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.81, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.01, 20.1]","[5.0, 0.4]"
